[12/16/2024, 9:19:21 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:19:21 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:19:21 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:19:22 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:19:22 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:19:23 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:19:23 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:19:24 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:19:56 PM] [INFO] [ProjectsPortal_Api] Server is running on: localhost:7070
[12/16/2024, 9:20:42 PM] [INFO] [ProjectsPortal_Api] Server is running on: localhost:7070
[12/16/2024, 9:22:19 PM] [INFO] [ProjectsPortal_Api] Server is running on: localhost:7070
[12/16/2024, 9:28:18 PM] [INFO] [ProjectsPortal_Api] Server isdas  running on: localhost:7070
[12/16/2024, 9:56:34 PM] [INFO] [ProjectsPortal_Api] Server is running on: localhost:7070
[12/16/2024, 10:00:05 PM] [INFO] [ProjectsPortal_Api] Server is dasd running on: localhost:7070
[12/16/2024, 10:00:33 PM] [ERROR] [REGISTER_USER_FUNCTION] Invalid value
[12/16/2024, 10:00:33 PM] [ERROR] [REGISTER_USER_FUNCTION] Invalid value
[12/16/2024, 10:00:33 PM] [ERROR] [REGISTER_USER_FUNCTION] Invalid value
[12/16/2024, 10:00:33 PM] [ERROR] [REGISTER_USER_FUNCTION] Invalid value
[12/16/2024, 10:00:33 PM] [ERROR] [REGISTER_USER_FUNCTION] Invalid value
[12/16/2024, 10:01:10 PM] [INFO] [ProjectsPortal_Api] Server is dasd running on: localhost:7070
[12/17/2024, 12:02:07 AM] [INFO] [ProjectsPortal_Api] Server is dasd running on: localhost:7070
[12/17/2024, 12:02:07 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 12:02:07 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
[12/17/2024, 12:02:07 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: getaddrinfo ENOTFOUND redis-db
